"","Community","Species1","Species2","g","SD1","SD2","SE1","SE2","meanDifference","meanDifferenceSE"
"6","Zábalo","Collared peccary","Black agouti",0.0998770721994536,1.31766688574239,2.82723968448968,0.0439222295247464,0.0942413228163227,0.220290993492395,0.103973983152493
"7","Remolino","Collared peccary","Black agouti",0.137797955191294,1.4034275816674,2.67601654243738,0.0467809193889135,0.0892005514145793,0.294428049676473,0.100723347797504
"8","Sinangoe","Collared peccary","Black agouti",0.0844898105963352,3.03999662922297,2.9674557831761,0.101333220974099,0.0989151927725366,0.25380275959461,0.141607333970433
"9","San Pablo","Collared peccary","Black agouti",0.174783823908356,1.19493131259529,1.05123615761562,0.149366414074411,0.131404519701953,0.196698142564285,0.198940879287163
"10","Siona","Collared peccary","Black agouti",0.169081565037292,1.78880283679157,2.91786153379491,0.0813092198541623,0.13263006971795,0.409193658011319,0.155569677722495
"11","Zábalo","Black agouti","Collared peccary",0.0994453375471502,2.46233509737966,2.41051068742708,0.082077836579322,0.0803503562475694,0.242304599392459,0.114860572028234
"12","Remolino","Black agouti","Collared peccary",0.155307311052026,0.243531602201828,1.59705566000074,0.00811772007339426,0.0532351886666913,0.177414197982114,0.0538505588788845
"13","Sinangoe","Black agouti","Collared peccary",0.0608900526818452,1.8146419700842,3.3637625670808,0.0604880656694732,0.112125418902693,0.16455993877936,0.127400610879772
"14","San Pablo","Black agouti","Collared peccary",0.157979704962949,1.1919576434678,1.12802239014406,0.148994705433475,0.141002798768007,0.183324455965833,0.205137055423
"15","Siona","Black agouti","Collared peccary",0.222006126227935,1.39493743120099,2.24010024979814,0.0634062468727723,0.101822738627188,0.414263061712722,0.119950915978293
"62","Zábalo","Lowland paca","Black agouti",0.190822110991284,1.42141609204312,3.07551676729715,0.0473805364014372,0.102517225576572,0.457161892549976,0.11293669363677
"72","Remolino","Lowland paca","Black agouti",0.176267919833744,2.97743653203652,3.0679514717904,0.0992478844012173,0.10226504905968,0.532863702018006,0.142507132513766
"82","Sinangoe","Lowland paca","Black agouti",0.18825064662126,2.0099182108132,3.82723354600178,0.0669972736937732,0.127574451533393,0.575435883140529,0.144096756960191
"92","San Pablo","Lowland paca","Black agouti",0.747005485575266,0.774177237902969,0.670518731667595,0.0967721547378711,0.0838148414584494,0.540985107978668,0.128022566687735
"102","Siona","Lowland paca","Black agouti",0.24473246719914,2.9769166948211,0.763654423347944,0.135314395219141,0.0347115646976338,0.531841465894052,0.139695663058235
"112","Zábalo","Black agouti","Lowland paca",0.162021720163299,2.77777510208407,2.80603848748618,0.0925925034028025,0.0935346162495393,0.452355336086111,0.131613434433368
"122","Remolino","Black agouti","Lowland paca",0.102003698368971,0.149919897702095,2.56374736237899,0.00499732992340318,0.0854582454126331,0.185232600883844,0.0856042347981055
"132","Sinangoe","Black agouti","Lowland paca",0.174723439355184,1.20296631952962,3.60731010556705,0.040098877317654,0.120243670185568,0.469804884657931,0.126753541101746
"142","San Pablo","Black agouti","Lowland paca",0.486565849256949,0.577008384751509,1.25651824889538,0.0721260480939387,0.157064781111922,0.475713216941322,0.17283377065662
"152","Siona","Black agouti","Lowland paca",0.272809730509954,1.02127486373098,2.64356278280019,0.0464215847150446,0.120161944672736,0.546690093634828,0.128817143560125
"63","Zábalo","Ocelot","Black agouti",0.0957021230717234,2.95411256819041,1.88177633133321,0.0984704189396804,0.0627258777111071,0.237023298282468,0.116751698663381
"73","Remolino","Ocelot","Black agouti",0.110139933712533,3.65094956815161,1.50957672419711,0.121698318938387,0.0503192241399037,0.307685467112602,0.131690945590315
"83","Sinangoe","Ocelot","Black agouti",0.18443849899211,3.24730149055864,2.47514310750044,0.108243383018621,0.0825047702500148,0.532502093531262,0.13610167920097
"93","San Pablo","Ocelot","Black agouti",0.143279072764285,1.66262920353864,1.41250075657924,0.207828650442331,0.176562594572404,0.221028444828212,0.272703314513813
"103","Siona","Ocelot","Black agouti",0.0640909590067663,3.41779773663125,2.68138352111168,0.155354442574148,0.12188106914144,0.196870687831285,0.197458851011001
"113","Zábalo","Black agouti","Ocelot",0.0875725380642634,1.62295970208106,3.12130443721979,0.0540986567360354,0.10404348124066,0.217847488056014,0.117267688001934
"123","Remolino","Black agouti","Ocelot",0.0927699822574649,0.144878315157417,0.728402138989052,0.0048292771719139,0.0242800712996351,0.0487179069795401,0.0247556817785035
"133","Sinangoe","Black agouti","Ocelot",0.0922645250788001,0.816630036444906,5.15013410375085,0.0272210012148302,0.171671136791695,0.340196995065807,0.173815885679332
"143","San Pablo","Black agouti","Ocelot",0.137624027558447,1.34759487393571,1.34198353560663,0.168449359241963,0.167747941950829,0.185075709371271,0.237727908874341
"153","Siona","Black agouti","Ocelot",0.0787461846513335,2.66435348964891,2.48628492140633,0.121106976802223,0.113012950973015,0.202917720027299,0.165646693048196
