"","Name","Genus","Species","Order","Family"
"1","Atelocynus_microtis","Atelocynus","microtis","Carnivora","Canidae"
"2","Baryphthengus_martii","Baryphthengus","martii",NA,NA
"3","Buteogallus_schistaceus","Buteogallus","schistaceus",NA,NA
"4","Cabassous_unicinctus","Cabassous","unicinctus","Cingulata","Dasypodidae"
"5","Canis_lupus","Canis","lupus","Carnivora","Canidae"
"6","Cebus_albifrons","Cebus","albifrons","Primates","Cebidae"
"7","Cebus_yuracus","Cebus","yuracus",NA,NA
"8","Chironectes_minimus","Chironectes","minimus","Didelphimorphia","Didelphidae"
"9","Coendou_longicaudatus","Coendou","longicaudatus",NA,NA
"10","Copeoglossum_nigropunctatum","Copeoglossum","nigropunctatum",NA,NA
"11","Crypturellus_soui","Crypturellus","soui",NA,NA
"12","Crypturellus_undulatus","Crypturellus","undulatus",NA,NA
"13","Cuniculus_paca","Cuniculus","paca","Rodentia","Cuniculidae"
"14","Dasyprocta_fuliginosa","Dasyprocta","fuliginosa","Rodentia","Dasyproctidae"
"15","Dasypus_novemcinctus","Dasypus","novemcinctus","Cingulata","Dasypodidae"
"16","Dicotyles_tajacu","Dicotyles","tajacu",NA,NA
"17","Didelphis_marsupialis","Didelphis","marsupialis","Didelphimorphia","Didelphidae"
"18","Eira_barbara","Eira","barbara","Carnivora","Mustelidae"
"19","Geotrygon_montana","Geotrygon","montana",NA,NA
"20","Hadroscirus_spadiceus","Hadroscirus","spadiceus",NA,NA
"21","Hadrosciurus_igniventris","Hadrosciurus","igniventris",NA,NA
"22","Hadrosciurus_spadiceus","Hadrosciurus","spadiceus",NA,NA
"23","Herpailurus_yagouaroundi","Herpailurus","yagouaroundi",NA,NA
"24","Homo_sapiens","Homo","sapiens","Primates","Hominidae"
"25","Hydrochoerus_hydrochaeris","Hydrochoerus","hydrochaeris","Rodentia","Caviidae"
"26","Leopardus_pardalis","Leopardus","pardalis","Carnivora","Felidae"
"27","Leopardus_wiedii","Leopardus","wiedii","Carnivora","Felidae"
"28","Leucopternis_melanops","Leucopternis","melanops",NA,NA
"29","Mazama_americana","Mazama","americana","Artiodactyla","Cervidae"
"30","Mazama_gouazoubira","Mazama","gouazoubira","Artiodactyla","Cervidae"
"31","Mazama_nemorivaga","Mazama","nemorivaga",NA,NA
"32","Mazama_sp.","Mazama","sp.",NA,NA
"33","Metachirus_nudicaudatus","Metachirus","nudicaudatus","Didelphimorphia","Didelphidae"
"34","Mitu_salvini","Mitu","salvini",NA,NA
"35","Myoprocta_pratti","Myoprocta","pratti","Rodentia","Dasyproctidae"
"36","Myrmecophaga_tridactyla","Myrmecophaga","tridactyla","Pilosa","Myrmecophagidae"
"37","Nasua_nasua","Nasua","nasua","Carnivora","Procyonidae"
"38","Nothocrax_urumutum","Nothocrax","urumutum",NA,NA
"39","Panthera_onca","Panthera","onca","Carnivora","Felidae"
"40","Penelope_jacquacu","Penelope","jacquacu",NA,NA
"41","Philander_andersoni","Philander","andersoni","Didelphimorphia","Didelphidae"
"42","Pipile_cumanensis","Pipile","cumanensis",NA,NA
"43","Plecturocebus_discolor","Plecturocebus","discolor",NA,NA
"44","Potos_flavus","Potos","flavus","Carnivora","Procyonidae"
"45","Priodontes_maximus","Priodontes","maximus","Cingulata","Dasypodidae"
"46","Procyon_cancrivorus","Procyon","cancrivorus","Carnivora","Procyonidae"
"47","Pseudastur__albicollis","Pseudastur","albicollis",NA,NA
"48","Psophia_crepitans","Psophia","crepitans",NA,NA
"49","Puma_concolor","Puma","concolor","Carnivora","Felidae"
"50","Ramphastos_tucanus","Ramphastos","tucanus",NA,NA
"51","Saguinus_graellsi","Saguinus","graellsi","Primates","Cebidae"
"52","Saimiri_cassiquiarensis","Saimiri","cassiquiarensis",NA,NA
"53","Sus_scrofa","Sus","scrofa","Artiodactyla","Suidae"
"54","Tamandua_tetradactyla","Tamandua","tetradactyla","Pilosa","Myrmecophagidae"
"55","Tapirus_terrestris","Tapirus","terrestris","Perissodactyla","Tapiridae"
"56","Tayassu_pecari","Tayassu","pecari","Artiodactyla","Tayassuidae"
"57","Tinamu_major","Tinamu","major",NA,NA
"58","Tinamus_major","Tinamus","major",NA,NA
"59","Tupinambis_cuzcoensis","Tupinambis","cuzcoensis",NA,NA
