Survey Name,Site ID,Site Name,Site Area (km2),Number of Trap Stations,Nights Elapsed,Number of Species,Period Start,Period End
Cofan-Sinangoe,62,SGE1,-,1,135,3,6/8/2022,19/12/2022
Cofan-Sinangoe,63,SGE2,-,1,0,0,6/8/2022,24/11/2022
Cofan-Sinangoe,64,SGE3,-,1,113,20,10/8/2022,1/12/2022
Cofan-Sinangoe,65,SGE4,-,1,117,19,6/8/2022,1/12/2022
Cofan-Sinangoe,66,SGE5,-,1,116,9,6/8/2022,30/11/2022
Cofan-Sinangoe,67,SGE6,-,1,116,6,6/8/2022,30/11/2022
Cofan-Sinangoe,68,SGE7,-,1,114,14,8/8/2022,30/11/2022
Cofan-Sinangoe,69,SGE8,-,1,119,0,3/8/2022,30/11/2022
Cofan-Sinangoe,70,SGE9,-,1,116,11,6/8/2022,30/11/2022
Cofan-Sinangoe,71,SGE10,-,1,116,17,6/8/2022,30/11/2022
Cofan-Sinangoe,72,SGE11,-,1,115,16,8/8/2022,1/12/2022
Cofan-Sinangoe,73,SGE12,-,1,115,8,7/8/2022,30/11/2022
Cofan-Sinangoe,74,SGE13,-,1,115,16,7/8/2022,30/11/2022
Cofan-Sinangoe,75,SGE14,-,1,115,17,7/8/2022,30/11/2022
Cofan-Sinangoe,76,SGE15,-,1,114,16,7/8/2022,29/11/2022
Cofan-Sinangoe,77,SGE16,-,1,114,14,7/8/2022,29/11/2022
Cofan-Sinangoe,78,SGE17,-,1,114,14,7/8/2022,29/11/2022
Cofan-Sinangoe,79,SGE18,-,1,116,2,7/8/2022,1/12/2022
Cofan-Sinangoe,80,SGE19,-,1,114,17,7/8/2022,29/11/2022
Cofan-Sinangoe,81,SGE20,-,1,116,12,5/8/2022,29/11/2022
Cofan-Sinangoe,82,SGE21,-,1,113,18,8/8/2022,29/11/2022
Cofan-Sinangoe,83,SGE22,-,1,116,13,5/8/2022,29/11/2022
Cofan-Sinangoe,84,SGE23,-,1,116,14,5/8/2022,29/11/2022
Cofan-Sinangoe,85,SGE24,-,1,115,8,5/8/2022,28/11/2022
Cofan-Sinangoe,86,SGE25,-,1,115,17,5/8/2022,28/11/2022
Cofan-Sinangoe,87,SGE26,-,1,115,13,5/8/2022,28/11/2022
Cofan-Sinangoe,88,SGE27,-,1,116,9,4/8/2022,28/11/2022
Cofan-Sinangoe,89,SGE28,-,1,116,20,4/8/2022,28/11/2022
Cofan-Sinangoe,90,SGE29,-,1,116,13,4/8/2022,28/11/2022
Cofan-Sinangoe,91,SGE30,-,1,116,4,4/8/2022,28/11/2022
