"","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Total","Obs","CommunityName"
"1","SKP1","SKP75",-0.307,-76.242,2022-07-14,2022-11-22,2022-07-30,2022-09-20,52,"No funciona, se  cambia, tampoco funciona","Siekopai"
"2","SKP10","SKP35",-0.373,-76.275,2022-07-16,2022-11-19,2022-08-09,2022-11-19,102,"Pantalla negra","Siekopai"
"3","SKP11","SKP36",-0.303,-76.303,2022-07-18,2022-11-16,2022-08-01,2022-11-06,97,"No funciona, se  cambia, tampoco funciona","Siekopai"
"4","SKP12","SKP37",-0.321,-76.301,2022-07-18,2022-11-16,NA,NA,0,"","Siekopai"
"5","SKP13","SKP38",-0.342,-76.297,2022-07-18,2022-11-16,2022-08-07,2022-11-16,101,"Sin problemas / Posible no laprendieron en la revisión","Siekopai"
"6","SKP14","SKP39",-0.313,-76.32,2022-07-16,2022-11-17,2022-08-09,2022-09-28,50,"","Siekopai"
"7","SKP15","SKP40",-0.373,-76.294,2022-07-16,2022-11-19,2022-08-11,2022-11-19,100,"Con bateria pero pantalla negra al retirar","Siekopai"
"8","SKP16","SKP41",-0.316,-76.342,2022-07-14,2022-11-16,NA,NA,0,"","Siekopai"
"9","SKP17","SKP42",-0.336,-76.339,2022-07-18,2022-11-17,NA,NA,0,"","Siekopai"
"10","SKP18","SKP43",-0.351,-76.328,2022-07-18,2022-11-17,2022-10-16,2022-11-17,32,"No funciona al retirar","Siekopai"
"11","SKP19","SKP44",-0.317,-76.361,2022-07-14,2022-11-16,NA,NA,0,"","Siekopai"
"12","SKP2","SKP45",-0.298839,-76.265275,2022-07-20,2022-11-24,2022-08-18,2022-11-24,98,"","Siekopai"
"13","SKP20","SKP46",-0.32,-76.387,2022-07-14,2022-11-16,2022-10-19,2022-11-16,28,"No funciona al retirar","Siekopai"
"14","SKP21","SKP47",-0.347,-76.404,2022-07-19,2022-11-17,NA,NA,0,"","Siekopai"
"15","SKP22","SKP48",-0.347,-76.387,2022-07-19,2022-11-17,NA,NA,0,"","Siekopai"
"16","SKP23","SKP49",-0.363,-76.406,2022-07-19,2022-11-17,NA,NA,0,"","Siekopai"
"17","SKP24","SKP50",-0.362,-76.378,2022-07-19,2022-11-17,NA,NA,0,"","Siekopai"
"18","SKP25","SKP51",-0.384,-76.4,2022-07-15,2022-11-18,2022-07-15,2022-11-18,126,"Robada","Siekopai"
"19","SKP26","SKP52",-0.385,-76.38,2022-07-15,2022-11-18,NA,NA,0,"","Siekopai"
"20","SKP27","SKP53",-0.389,-76.356,2022-07-17,2022-11-20,NA,NA,0,"Con bateri / pantalla negra","Siekopai"
"21","SKP28","SKP54",-0.396,-76.29,2022-07-17,2022-11-20,NA,NA,0,"con batería / panatalla negra","Siekopai"
"22","SKP29","SKP55",-0.397,-76.273,2022-07-17,2022-11-19,NA,NA,0,"","Siekopai"
"23","SKP3","SKP57",-0.319,-76.26,2022-07-14,2022-11-21,2022-08-08,2022-11-21,105,"","Siekopai"
"24","SKP30","SKP58",-0.389,-76.253,2022-07-17,2022-11-19,2022-07-17,2022-11-19,125,"Pantalla negra-memoria vacia","Siekopai"
"25","SKP31","SKP59",-0.306,-76.422,2022-07-17,2022-11-15,NA,NA,0,"","Siekopai"
"26","SKP32","SKP60",-0.293,-76.442,2022-07-17,2022-11-16,2022-07-17,2022-08-25,39,"","Siekopai"
"27","SKP33","SKP61",-0.283,-76.461,2022-07-21,2022-11-15,NA,NA,0,"","Siekopai"
"28","SKP34","SKP62",-0.274,-76.438,2022-07-21,2022-11-15,NA,NA,0,"","Siekopai"
"29","SKP35","SKP63",-0.276,-76.41,2022-07-21,2022-11-16,2022-10-26,2022-11-16,21,"No funsiona al retirar","Siekopai"
"30","SKP36","SKP64",-0.256,-76.415,2022-07-21,2022-11-16,2022-07-21,2022-11-16,118,"Robada","Siekopai"
"31","SKP37","SKP65",-0.254,-76.434,2022-07-21,2022-11-16,2022-10-20,2022-11-16,27,"No funsiona al retirar","Siekopai"
"32","SKP4","SKP66",-0.343,-76.255,2022-07-16,2022-11-21,2022-08-06,2022-11-21,107,"Se enciontro 50 m alejado del sitio que se coloco","Siekopai"
"33","SKP5","SKP67",-0.365,-76.255,2022-07-16,2022-11-19,2022-08-08,2022-11-19,103,"","Siekopai"
"34","SKP6","SKP68",-0.298,-76.285,2022-07-14,2022-11-17,NA,NA,0,"","Siekopai"
"35","SKP7","SKP69",-0.316,-76.281,2022-07-14,2022-11-17,NA,NA,0,"","Siekopai"
"36","SKP8","SKP70",-0.336,-76.277,2022-07-14,2022-11-17,NA,NA,0,"","Siekopai"
"37","SKP9","SKP77",-0.354128,-76.27821,2022-07-25,2022-11-14,2022-09-05,2022-11-14,70,"","Siekopai"
