"","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Total","Obs","Community"
"1","SNA1",29,-0.234411,-76.434046,2022-07-28,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"2","SNA10",13,-0.192764,-76.4395,2022-07-29,2022-11-25,NA,NA,NA,NA,0,"","Siona"
"3","SNA11",14,-0.174809,-76.446991,2022-07-29,2022-11-25,NA,NA,NA,NA,0,"","Siona"
"4","SNA12",15,-0.188111,-76.460998,2022-07-30,2022-11-25,NA,NA,NA,NA,0,"","Siona"
"5","SNA13",16,-0.198657,-76.475564,2022-07-30,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"6","SNA14",17,-0.217694,-76.496117,2022-07-27,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"7","SNA15",18,-0.234637,-76.485666,2022-07-28,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"8","SNA16",19,-0.232867,-76.506877,2022-07-27,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"9","SNA17",33,-0.19788,-76.495183,2022-07-28,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"10","SNA18",21,-0.20534,-76.513813,2022-07-28,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"11","SNA19",22,-0.220377,-76.525161,2022-07-27,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"12","SNA2",31,-0.249522,-76.451389,2022-07-27,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"13","SNA20",23,-0.217666,-76.544024,2022-07-31,2022-11-24,2022-11-18,2022-11-24,NA,NA,6,"","Siona"
"14","SNA21",24,-0.199393,-76.533493,2022-07-28,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"15","SNA22",25,-0.179847,-76.488493,2022-07-30,2022-11-25,NA,NA,NA,NA,0,"","Siona"
"16","SNA23",26,-0.162641,-76.471243,2022-07-30,2022-11-25,2022-07-30,2022-08-25,NA,NA,26,"","Siona"
"17","SNA3",32,-0.264434,-76.464566,2022-07-27,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"18","SNA4",7,-0.218803,-76.419426,2022-07-29,2022-11-25,2022-08-23,2022-09-20,2022-10-06,2022-11-03,94,"","Siona"
"19","SNA5",8,-0.243805,-76.468671,2022-07-27,2022-11-23,2022-11-19,2022-11-23,NA,NA,4,"No funciona al momento de retirar","Siona"
"20","SNA6",9,-0.254082,-76.485219,2022-07-27,2022-11-23,NA,NA,NA,NA,0,"","Siona"
"21","SNA7",10,-0.225292,-76.453422,2022-07-28,2022-11-23,2022-10-12,2022-11-23,NA,NA,42,"No funciona al momento de retirar","Siona"
"22","SNA8",11,-0.212999,-76.438241,2022-07-30,2022-11-24,NA,NA,NA,NA,0,"","Siona"
"23","SNA9",12,-0.198732,-76.423502,2022-07-29,2022-11-25,NA,NA,NA,NA,0,"","Siona"
